ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Jan-2025","EQ","1,600.00","1,620.20","1,592.40","1,599.20","1,607.80","1,607.05","1,605.42","1,779.00","1,045.25","46,84,859","7,52,11,59,280.55","3,12,415"
"08-Jan-2025","EQ","1,598.75","1,613.45","1,577.85","1,590.85","1,601.15","1,599.20","1,591.05","1,779.00","1,045.25","36,74,564","5,84,64,08,484.30","2,09,954"
"07-Jan-2025","EQ","1,594.00","1,603.00","1,584.05","1,588.45","1,591.00","1,590.85","1,591.45","1,779.00","1,045.25","28,30,856","4,50,51,79,409.10","1,10,398"
"06-Jan-2025","EQ","1,596.15","1,609.85","1,567.10","1,598.85","1,589.35","1,588.45","1,589.02","1,779.00","1,045.25","45,84,188","7,28,43,66,528.40","1,26,704"
"03-Jan-2025","EQ","1,615.00","1,617.00","1,593.30","1,609.70","1,594.00","1,598.85","1,601.48","1,779.00","1,007.00","36,69,685","5,87,69,19,268.40","1,28,800"
"02-Jan-2025","EQ","1,599.90","1,619.60","1,588.40","1,595.70","1,613.00","1,609.70","1,608.78","1,779.00","1,007.00","37,28,040","5,99,76,12,867.30","1,89,267"
"01-Jan-2025","EQ","1,593.00","1,606.55","1,584.05","1,587.75","1,597.95","1,595.70","1,594.42","1,779.00","1,007.00","14,05,565","2,24,10,59,050.30","63,674"
"31-Dec-2024","EQ","1,583.00","1,597.20","1,563.35","1,586.90","1,593.40","1,587.75","1,585.59","1,779.00","1,007.00","22,49,626","3,56,69,95,283.15","1,15,546"
"30-Dec-2024","EQ","1,605.00","1,613.05","1,581.10","1,599.85","1,590.65","1,586.90","1,597.39","1,779.00","1,007.00","44,38,130","7,08,94,04,378.55","1,78,966"
"27-Dec-2024","EQ","1,599.50","1,628.45","1,596.30","1,599.50","1,605.55","1,599.85","1,608.44","1,779.00","989.65","25,59,578","4,11,69,15,359.65","1,01,745"
"26-Dec-2024","EQ","1,583.90","1,606.85","1,581.10","1,583.90","1,600.45","1,599.50","1,597.33","1,779.00","989.65","34,00,479","5,43,16,93,999.45","1,07,771"
"24-Dec-2024","EQ","1,590.00","1,598.80","1,575.00","1,586.90","1,583.00","1,583.90","1,588.66","1,779.00","989.65","36,10,076","5,73,51,71,342.40","1,69,345"
"23-Dec-2024","EQ","1,586.00","1,607.45","1,578.35","1,578.10","1,585.00","1,586.90","1,591.16","1,779.00","989.65","43,63,599","6,94,31,95,642.05","1,49,394"
"20-Dec-2024","EQ","1,610.00","1,622.30","1,573.40","1,600.30","1,587.00","1,578.10","1,591.74","1,779.00","960.00","97,38,879","15,50,17,84,321.30","1,69,338"
"19-Dec-2024","EQ","1,586.40","1,609.75","1,585.45","1,601.90","1,599.00","1,600.30","1,600.28","1,779.00","960.00","58,65,855","9,38,69,99,692.40","1,58,170"
"18-Dec-2024","EQ","1,621.40","1,623.00","1,596.10","1,615.30","1,601.40","1,601.90","1,606.40","1,779.00","960.00","39,05,144","6,27,32,28,825.45","1,02,635"
"17-Dec-2024","EQ","1,650.50","1,658.65","1,608.50","1,662.55","1,616.00","1,615.30","1,623.16","1,779.00","960.00","61,82,486","10,03,51,68,733.95","1,74,466"
"16-Dec-2024","EQ","1,681.75","1,687.00","1,660.15","1,681.75","1,663.00","1,662.55","1,667.05","1,779.00","960.00","43,75,126","7,29,35,58,107.15","1,28,634"
"13-Dec-2024","EQ","1,618.00","1,685.00","1,606.80","1,610.55","1,682.00","1,681.75","1,654.72","1,779.00","960.00","1,29,00,707","21,34,70,81,835.20","3,09,678"
"12-Dec-2024","EQ","1,578.50","1,617.90","1,578.50","1,586.00","1,610.00","1,610.55","1,605.53","1,779.00","960.00","1,31,20,939","21,06,59,96,458.85","2,96,489"
"11-Dec-2024","EQ","1,588.00","1,588.00","1,571.20","1,578.65","1,586.95","1,586.00","1,580.24","1,779.00","960.00","38,53,182","6,08,89,65,522.80","1,31,818"
"10-Dec-2024","EQ","1,610.55","1,611.85","1,570.05","1,602.55","1,580.05","1,578.65","1,580.99","1,779.00","960.00","1,46,45,786","23,15,48,51,794.85","2,61,312"
"09-Dec-2024","EQ","1,595.90","1,605.90","1,589.05","1,597.85","1,604.00","1,602.55","1,600.86","1,779.00","960.00","42,64,409","6,82,67,40,662.20","1,21,567"
"06-Dec-2024","EQ","1,618.00","1,624.65","1,594.80","1,615.35","1,597.75","1,597.85","1,605.60","1,779.00","960.00","42,96,866","6,89,90,26,930.30","1,47,791"
"05-Dec-2024","EQ","1,600.00","1,622.05","1,585.35","1,584.10","1,613.25","1,615.35","1,605.51","1,779.00","960.00","1,03,24,005","16,57,53,10,077.75","2,89,816"
"04-Dec-2024","EQ","1,629.75","1,630.50","1,582.40","1,620.55","1,583.65","1,584.10","1,592.89","1,779.00","960.00","87,72,014","13,97,28,58,885.90","2,86,888"
"03-Dec-2024","EQ","1,652.90","1,652.90","1,613.15","1,643.60","1,618.90","1,620.55","1,622.78","1,779.00","960.00","91,31,055","14,81,77,37,498.65","1,78,499"
"02-Dec-2024","EQ","1,627.15","1,646.20","1,617.20","1,627.15","1,642.00","1,643.60","1,636.44","1,779.00","960.00","37,90,108","6,20,22,83,532.30","1,90,206"
"29-Nov-2024","EQ","1,551.15","1,648.90","1,551.15","1,560.40","1,629.00","1,627.15","1,625.07","1,779.00","960.00","1,07,75,801","17,51,14,26,034.20","3,51,472"
"28-Nov-2024","EQ","1,571.00","1,588.50","1,556.95","1,577.65","1,564.95","1,560.40","1,566.45","1,779.00","960.00","67,14,728","10,51,82,83,541.95","2,21,954"
"27-Nov-2024","EQ","1,569.15","1,583.75","1,554.15","1,577.25","1,577.00","1,577.65","1,571.96","1,779.00","960.00","49,82,785","7,83,27,37,320.30","1,62,967"
"26-Nov-2024","EQ","1,590.00","1,604.85","1,566.00","1,578.75","1,577.95","1,577.25","1,579.11","1,779.00","960.00","40,30,593","6,36,47,54,302.00","1,43,576"
"25-Nov-2024","EQ","1,581.95","1,609.25","1,562.55","1,569.30","1,583.45","1,578.75","1,580.42","1,779.00","960.00","1,21,55,641","19,21,09,95,879.00","2,12,297"
"22-Nov-2024","EQ","1,533.00","1,575.00","1,520.20","1,525.15","1,568.40","1,569.30","1,551.40","1,779.00","941.95","76,40,321","11,85,31,93,827.45","1,88,502"
"21-Nov-2024","EQ","1,538.00","1,542.05","1,511.00","1,525.50","1,524.00","1,525.15","1,521.54","1,779.00","941.95","73,56,679","11,19,34,72,815.00","2,84,902"
"19-Nov-2024","EQ","1,537.00","1,558.00","1,519.30","1,537.00","1,524.30","1,525.50","1,545.47","1,779.00","941.95","62,38,241","9,64,09,90,222.00","1,51,761"
"18-Nov-2024","EQ","1,568.95","1,568.95","1,529.45","1,550.50","1,542.20","1,537.00","1,542.26","1,779.00","941.95","48,16,078","7,42,76,37,407.05","1,93,391"
"14-Nov-2024","EQ","1,550.00","1,568.00","1,536.55","1,550.45","1,554.40","1,550.50","1,546.01","1,779.00","933.80","51,39,154","7,94,51,64,690.00","1,67,251"
"13-Nov-2024","EQ","1,559.90","1,572.50","1,546.35","1,555.65","1,552.00","1,550.45","1,555.69","1,779.00","933.80","58,16,699","9,04,89,53,940.45","1,91,024"
"12-Nov-2024","EQ","1,568.80","1,595.00","1,550.10","1,560.55","1,552.55","1,555.65","1,570.70","1,779.00","933.80","44,79,934","7,03,66,45,512.50","1,92,555"
"11-Nov-2024","EQ","1,561.00","1,581.60","1,551.80","1,569.90","1,556.90","1,560.55","1,566.93","1,779.00","933.80","36,64,301","5,74,17,10,679.15","1,48,436"
"08-Nov-2024","EQ","1,571.00","1,579.50","1,558.85","1,575.80","1,570.30","1,569.90","1,570.07","1,779.00","929.00","30,96,384","4,86,15,24,408.10","1,83,724"
"07-Nov-2024","EQ","1,595.95","1,608.55","1,569.65","1,598.80","1,573.70","1,575.80","1,586.68","1,779.00","929.00","51,60,994","8,18,88,48,584.00","1,96,604"
"06-Nov-2024","EQ","1,583.00","1,610.75","1,566.50","1,578.40","1,597.25","1,598.80","1,593.11","1,779.00","929.00","66,31,728","10,56,50,53,107.70","2,54,078"
"05-Nov-2024","EQ","1,583.25","1,593.90","1,566.00","1,591.25","1,587.45","1,578.40","1,577.00","1,779.00","929.00","64,73,278","10,20,83,32,409.80","2,15,994"
"04-Nov-2024","EQ","1,619.15","1,623.85","1,573.05","1,616.45","1,589.90","1,591.25","1,590.15","1,779.00","929.00","60,94,029","9,69,04,29,950.70","2,22,617"
"01-Nov-2024","EQ","1,620.00","1,626.35","1,605.35","1,612.60","1,613.80","1,616.45","1,619.32","1,779.00","895.45","2,79,441","45,25,04,411.05","15,038"
"31-Oct-2024","EQ","1,634.00","1,638.80","1,602.15","1,633.35","1,620.00","1,612.60","1,615.91","1,779.00","895.45","49,21,681","7,95,30,03,828.75","2,35,785"
"30-Oct-2024","EQ","1,627.80","1,651.00","1,617.80","1,637.10","1,636.50","1,633.35","1,634.76","1,779.00","895.45","46,22,628","7,55,68,94,648.75","1,59,697"
"29-Oct-2024","EQ","1,650.50","1,667.95","1,610.00","1,663.35","1,641.90","1,637.10","1,632.06","1,779.00","895.45","69,90,747","11,40,93,14,583.90","2,32,073"
"28-Oct-2024","EQ","1,658.15","1,677.85","1,645.65","1,666.00","1,665.05","1,663.35","1,664.65","1,779.00","895.45","28,11,651","4,68,04,28,475.10","1,33,010"
"25-Oct-2024","EQ","1,681.10","1,684.75","1,655.85","1,678.45","1,670.75","1,666.00","1,669.27","1,779.00","895.45","34,34,386","5,73,29,17,769.50","1,88,065"
"24-Oct-2024","EQ","1,687.00","1,693.00","1,657.40","1,685.80","1,682.95","1,678.45","1,674.95","1,779.00","895.45","36,69,575","6,14,63,55,468.00","1,82,028"
"23-Oct-2024","EQ","1,690.00","1,701.35","1,680.10","1,692.25","1,685.05","1,685.80","1,689.64","1,779.00","895.45","27,64,757","4,67,14,54,657.35","96,507"
"22-Oct-2024","EQ","1,692.00","1,712.90","1,687.35","1,692.55","1,690.00","1,692.25","1,696.40","1,779.00","895.45","30,70,057","5,20,80,31,068.75","1,96,059"
"21-Oct-2024","EQ","1,705.55","1,708.95","1,662.00","1,707.85","1,690.00","1,692.55","1,687.52","1,779.00","895.45","38,36,168","6,47,35,93,466.35","2,12,409"
"18-Oct-2024","EQ","1,710.00","1,716.10","1,685.20","1,701.15","1,702.00","1,707.85","1,704.33","1,779.00","895.45","41,54,915","7,08,13,60,280.10","1,83,111"
"17-Oct-2024","EQ","1,736.75","1,737.95","1,694.40","1,733.95","1,701.95","1,701.15","1,711.22","1,779.00","895.45","43,73,392","7,48,38,52,555.90","1,48,163"
"16-Oct-2024","EQ","1,720.00","1,742.25","1,717.10","1,717.25","1,732.00","1,733.95","1,729.33","1,779.00","895.45","32,99,887","5,70,65,94,336.30","1,55,634"
"15-Oct-2024","EQ","1,708.00","1,732.75","1,699.95","1,695.60","1,718.00","1,717.25","1,717.32","1,779.00","895.45","58,91,334","10,11,72,78,156.90","1,60,508"
"14-Oct-2024","EQ","1,686.00","1,710.05","1,679.35","1,687.40","1,693.95","1,695.60","1,694.12","1,779.00","895.45","20,69,815","3,50,65,14,940.50","1,28,955"
"11-Oct-2024","EQ","1,678.10","1,690.25","1,658.65","1,678.10","1,683.10","1,687.40","1,679.94","1,779.00","895.45","23,67,678","3,97,75,63,789.10","1,08,341"
"10-Oct-2024","EQ","1,686.60","1,698.95","1,665.00","1,678.10","1,676.35","1,678.10","1,673.96","1,779.00","895.45","50,47,657","8,44,95,64,270.45","1,71,894"
"09-Oct-2024","EQ","1,666.75","1,704.60","1,661.05","1,657.45","1,685.25","1,678.10","1,684.51","1,779.00","895.45","34,14,614","5,75,19,45,660.05","1,69,649"
"08-Oct-2024","EQ","1,662.60","1,679.50","1,652.00","1,662.05","1,660.70","1,657.45","1,661.86","1,779.00","895.45","52,24,335","8,68,21,31,114.85","1,53,127"
"07-Oct-2024","EQ","1,651.00","1,670.00","1,642.45","1,640.90","1,662.60","1,662.05","1,657.94","1,779.00","895.45","53,87,707","8,93,25,05,100.45","3,36,860"
"04-Oct-2024","EQ","1,670.05","1,686.70","1,630.15","1,673.45","1,644.00","1,640.90","1,653.76","1,779.00","895.45","85,76,527","14,18,35,50,969.65","2,91,710"
"03-Oct-2024","EQ","1,665.00","1,695.00","1,665.00","1,698.70","1,684.60","1,673.45","1,679.94","1,779.00","895.45","72,00,276","12,09,60,44,656.35","2,38,761"
"01-Oct-2024","EQ","1,705.00","1,722.85","1,696.00","1,709.55","1,704.75","1,698.70","1,706.30","1,779.00","895.45","36,49,090","6,22,64,49,706.40","1,33,978"
"30-Sep-2024","EQ","1,714.00","1,733.00","1,704.20","1,734.60","1,713.35","1,709.55","1,713.34","1,779.00","895.45","69,07,288","11,83,45,51,074.85","2,14,418"
"27-Sep-2024","EQ","1,755.20","1,763.45","1,722.50","1,771.10","1,737.00","1,734.60","1,734.84","1,779.00","895.45","71,16,861","12,34,65,79,695.75","2,69,204"
"26-Sep-2024","EQ","1,770.00","1,779.00","1,746.15","1,760.40","1,767.15","1,771.10","1,765.58","1,779.00","895.45","74,17,423","13,09,60,38,434.05","1,85,575"
"25-Sep-2024","EQ","1,755.55","1,766.90","1,745.00","1,756.65","1,761.00","1,760.40","1,754.28","1,767.55","895.45","40,17,103","7,04,71,42,964.35","1,80,716"
"24-Sep-2024","EQ","1,752.00","1,767.55","1,746.10","1,750.45","1,757.00","1,756.65","1,758.03","1,767.55","895.45","75,79,205","13,32,44,94,276.70","2,48,064"
"23-Sep-2024","EQ","1,719.00","1,754.25","1,719.00","1,711.75","1,751.15","1,750.45","1,741.76","1,754.25","895.45","50,01,827","8,71,19,62,679.50","2,03,386"
"20-Sep-2024","EQ","1,671.00","1,723.40","1,666.00","1,664.85","1,710.00","1,711.75","1,703.23","1,723.40","895.45","2,16,46,275","36,86,85,31,854.95","4,01,560"
"19-Sep-2024","EQ","1,647.70","1,711.70","1,647.70","1,654.90","1,672.00","1,664.85","1,673.51","1,711.70","895.45","84,98,240","14,22,18,48,051.35","2,58,313"
"18-Sep-2024","EQ","1,655.20","1,670.95","1,647.85","1,661.75","1,650.10","1,654.90","1,659.44","1,670.95","895.45","31,71,195","5,26,24,05,080.20","1,49,155"
"17-Sep-2024","EQ","1,650.00","1,666.05","1,638.50","1,635.45","1,663.00","1,661.75","1,657.10","1,666.05","895.45","42,23,072","6,99,80,72,025.45","1,66,923"
"16-Sep-2024","EQ","1,634.45","1,652.95","1,630.10","1,634.45","1,636.45","1,635.45","1,642.61","1,654.90","895.45","37,62,063","6,17,95,97,499.95","1,39,236"
"13-Sep-2024","EQ","1,651.00","1,654.90","1,631.05","1,646.75","1,632.20","1,634.45","1,635.27","1,654.90","883.60","56,09,618","9,17,32,16,407.55","1,94,137"
"12-Sep-2024","EQ","1,596.15","1,652.80","1,590.10","1,577.80","1,634.00","1,646.75","1,626.30","1,652.80","883.60","1,22,04,496","19,84,82,02,397.45","2,96,745"
"11-Sep-2024","EQ","1,578.45","1,598.90","1,574.45","1,577.85","1,579.40","1,577.80","1,586.85","1,608.40","883.60","59,94,914","9,51,30,33,635.80","1,97,562"
"10-Sep-2024","EQ","1,545.15","1,586.00","1,545.15","1,542.65","1,577.10","1,577.85","1,571.48","1,608.40","883.60","61,63,457","9,68,57,64,900.40","2,07,249"
"09-Sep-2024","EQ","1,523.25","1,546.75","1,523.25","1,539.25","1,541.00","1,542.65","1,539.52","1,608.40","883.60","39,12,508","6,02,33,87,316.00","1,07,173"
"06-Sep-2024","EQ","1,552.80","1,555.60","1,530.20","1,547.20","1,540.10","1,539.25","1,539.41","1,608.40","858.40","54,97,805","8,46,33,94,332.35","2,11,219"
"05-Sep-2024","EQ","1,559.00","1,563.00","1,541.50","1,561.90","1,545.05","1,547.20","1,550.76","1,608.40","858.40","56,52,812","8,76,61,44,144.70","2,22,657"
"04-Sep-2024","EQ","1,558.00","1,566.00","1,542.00","1,560.60","1,561.30","1,561.90","1,552.00","1,608.40","858.40","52,13,811","8,09,18,28,843.80","1,42,070"
"03-Sep-2024","EQ","1,579.00","1,579.00","1,558.60","1,571.35","1,559.05","1,560.60","1,564.07","1,608.40","858.40","45,46,295","7,11,07,23,534.90","1,04,090"
"02-Sep-2024","EQ","1,605.00","1,605.00","1,565.50","1,589.05","1,576.75","1,571.35","1,577.22","1,608.40","858.40","48,90,314","7,71,31,18,140.00","1,87,443"
"30-Aug-2024","EQ","1,576.00","1,608.40","1,561.60","1,565.90","1,584.00","1,589.05","1,589.37","1,608.40","847.05","3,78,20,442","60,11,06,58,279.35","3,28,853"
"29-Aug-2024","EQ","1,565.00","1,571.70","1,545.95","1,556.35","1,565.00","1,565.90","1,561.10","1,571.70","847.05","80,36,748","12,54,61,76,112.90","2,22,292"
"28-Aug-2024","EQ","1,527.95","1,564.50","1,521.65","1,522.75","1,554.00","1,556.35","1,547.48","1,564.50","847.05","62,25,319","9,63,35,26,775.10","1,93,408"
"27-Aug-2024","EQ","1,518.00","1,526.35","1,502.00","1,513.55","1,520.65","1,522.75","1,519.06","1,536.25","847.05","39,65,066","6,02,31,66,020.95","1,20,915"
"26-Aug-2024","EQ","1,509.00","1,520.70","1,505.00","1,506.75","1,512.00","1,513.55","1,514.60","1,536.25","847.05","43,07,432","6,52,40,19,566.00","1,16,614"
"23-Aug-2024","EQ","1,493.00","1,510.00","1,479.35","1,486.35","1,510.00","1,506.75","1,496.53","1,536.25","847.05","62,38,112","9,33,54,93,519.10","1,76,667"
"22-Aug-2024","EQ","1,473.70","1,499.90","1,465.00","1,463.45","1,486.90","1,486.35","1,486.36","1,536.25","847.05","67,81,325","10,07,95,14,201.05","2,37,518"
"21-Aug-2024","EQ","1,453.00","1,466.60","1,447.70","1,449.15","1,466.60","1,463.45","1,457.05","1,536.25","847.05","61,75,510","8,99,80,24,468.00","1,93,971"
"20-Aug-2024","EQ","1,480.00","1,484.75","1,446.50","1,469.65","1,449.00","1,449.15","1,454.10","1,536.25","847.05","1,00,46,892","14,60,92,24,549.20","2,05,415"
"19-Aug-2024","EQ","1,487.00","1,489.10","1,464.30","1,483.55","1,470.00","1,469.65","1,471.02","1,536.25","847.05","44,04,075","6,47,85,02,561.20","1,86,308"
"16-Aug-2024","EQ","1,480.00","1,491.00","1,468.10","1,471.70","1,485.90","1,483.55","1,482.19","1,536.25","847.05","71,76,426","10,63,68,44,703.65","2,26,556"
"14-Aug-2024","EQ","1,453.10","1,480.10","1,453.10","1,459.70","1,473.25","1,471.70","1,469.34","1,536.25","847.05","58,91,784","8,65,70,47,426.05","2,10,601"
"13-Aug-2024","EQ","1,468.00","1,478.40","1,450.35","1,458.60","1,458.75","1,459.70","1,464.23","1,536.25","847.05","44,95,208","6,58,20,39,897.40","2,30,986"
