ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jan-2025","EQ","3,368.15","3,434.20","3,340.15","3,360.05","3,425.35","3,418.55","3,401.63","3,590.70","2,288.70","1,74,032","59,19,93,061.65","23,741"
"31-Dec-2024","EQ","3,362.20","3,396.70","3,343.95","3,369.50","3,364.90","3,360.05","3,363.69","3,590.70","2,288.70","1,53,583","51,66,05,022.55","24,666"
"30-Dec-2024","EQ","3,405.00","3,422.30","3,348.05","3,405.10","3,405.10","3,369.50","3,374.87","3,590.70","2,288.70","10,40,305","3,51,08,96,829.95","53,841"
"27-Dec-2024","EQ","3,421.35","3,446.05","3,396.50","3,421.35","3,413.95","3,405.10","3,419.06","3,590.70","2,223.00","2,20,832","75,50,38,124.75","17,456"
"26-Dec-2024","EQ","3,399.45","3,433.20","3,377.00","3,399.45","3,414.20","3,421.35","3,401.97","3,590.70","2,223.00","1,22,364","41,62,79,258.35","17,433"
"24-Dec-2024","EQ","3,421.00","3,455.25","3,362.00","3,420.35","3,400.40","3,399.45","3,396.17","3,590.70","2,223.00","73,392","24,92,51,963.05","16,124"
"23-Dec-2024","EQ","3,450.00","3,476.45","3,378.80","3,437.00","3,400.00","3,420.35","3,418.55","3,590.70","2,223.00","1,46,144","49,96,00,563.40","17,899"
"20-Dec-2024","EQ","3,476.25","3,515.35","3,421.40","3,469.15","3,439.95","3,437.00","3,476.62","3,590.70","2,095.20","3,58,325","1,24,57,58,207.00","37,651"
"19-Dec-2024","EQ","3,381.90","3,489.50","3,358.10","3,381.90","3,465.85","3,469.15","3,446.69","3,590.70","2,095.20","5,39,423","1,85,92,25,312.00","48,392"
"18-Dec-2024","EQ","3,376.70","3,417.00","3,366.90","3,376.70","3,379.95","3,381.90","3,389.58","3,590.70","2,095.20","3,48,736","1,18,20,68,302.70","31,492"
"17-Dec-2024","EQ","3,362.05","3,399.00","3,339.05","3,362.05","3,385.00","3,376.70","3,364.40","3,590.70","2,095.20","5,46,502","1,83,86,49,722.80","64,013"
"16-Dec-2024","EQ","3,355.85","3,374.55","3,319.05","3,345.85","3,356.00","3,362.05","3,350.84","3,590.70","2,095.20","2,55,322","85,55,43,635.50","30,836"
"13-Dec-2024","EQ","3,321.00","3,354.90","3,294.05","3,327.85","3,339.90","3,345.85","3,334.57","3,590.70","2,025.70","2,44,920","81,67,02,854.15","33,583"
"12-Dec-2024","EQ","3,374.85","3,394.65","3,304.90","3,374.85","3,321.00","3,327.85","3,348.28","3,590.70","2,025.70","1,95,517","65,46,46,592.00","25,072"
"11-Dec-2024","EQ","3,360.15","3,388.00","3,332.90","3,350.00","3,371.00","3,374.85","3,374.26","3,590.70","2,025.70","2,85,675","96,39,41,179.25","24,008"
"10-Dec-2024","EQ","3,344.00","3,363.60","3,329.35","3,335.70","3,354.95","3,350.00","3,350.05","3,590.70","2,025.70","3,26,031","1,09,22,19,656.25","39,464"
"09-Dec-2024","EQ","3,342.15","3,369.50","3,319.45","3,332.50","3,344.00","3,335.70","3,341.50","3,590.70","2,025.70","2,51,984","84,20,05,346.50","32,221"
"06-Dec-2024","EQ","3,368.85","3,375.90","3,302.00","3,361.50","3,337.35","3,332.50","3,348.81","3,590.70","2,025.70","3,04,889","1,02,10,14,875.80","24,316"
"05-Dec-2024","EQ","3,450.00","3,455.00","3,318.65","3,352.65","3,368.90","3,361.50","3,368.02","3,590.70","2,025.70","3,78,207","1,27,38,07,471.10","40,513"
"04-Dec-2024","EQ","3,366.00","3,366.00","3,295.00","3,363.10","3,340.35","3,352.65","3,337.31","3,590.70","2,025.70","4,19,534","1,40,01,16,676.90","49,423"
"03-Dec-2024","EQ","3,350.20","3,395.00","3,341.60","3,339.15","3,365.60","3,363.10","3,373.27","3,590.70","2,025.70","3,97,698","1,34,15,43,247.80","44,685"
"02-Dec-2024","EQ","3,301.00","3,393.60","3,301.00","3,324.20","3,337.90","3,339.15","3,348.47","3,590.70","2,025.70","5,22,794","1,75,05,58,973.50","62,145"
"29-Nov-2024","EQ","3,208.10","3,333.10","3,200.00","3,202.95","3,330.00","3,324.20","3,307.89","3,590.70","2,025.70","7,48,210","2,47,49,96,790.60","70,677"
"28-Nov-2024","EQ","3,224.50","3,237.95","3,172.45","3,224.45","3,205.00","3,202.95","3,202.20","3,590.70","2,025.70","3,09,175","99,00,40,278.00","40,980"
"27-Nov-2024","EQ","3,230.00","3,252.95","3,168.35","3,225.55","3,212.05","3,224.45","3,207.53","3,590.70","2,025.70","2,83,758","91,01,62,769.15","32,822"
"26-Nov-2024","EQ","3,260.00","3,275.00","3,215.90","3,266.60","3,222.00","3,225.55","3,243.06","3,590.70","2,025.70","2,06,124","66,84,73,121.00","37,270"
"25-Nov-2024","EQ","3,206.00","3,276.00","3,163.60","3,167.10","3,260.00","3,266.60","3,236.81","3,590.70","2,025.70","6,37,198","2,06,24,89,645.60","54,924"
"22-Nov-2024","EQ","3,102.05","3,189.70","3,102.05","3,101.95","3,171.00","3,167.10","3,157.59","3,590.70","2,025.70","2,90,862","91,84,24,037.90","43,775"
"21-Nov-2024","EQ","3,095.05","3,128.00","3,076.00","3,094.85","3,102.90","3,101.95","3,101.52","3,590.70","2,025.70","1,70,973","53,02,75,810.25","29,666"
"19-Nov-2024","EQ","3,105.60","3,133.55","3,085.90","3,105.60","3,087.85","3,094.85","3,108.01","3,590.70","2,025.70","1,71,432","53,28,12,144.55","25,390"
"18-Nov-2024","EQ","3,103.05","3,141.00","3,075.25","3,102.40","3,109.95","3,105.60","3,112.41","3,590.70","2,025.70","1,95,002","60,69,25,937.50","33,376"
"14-Nov-2024","EQ","3,116.05","3,141.45","3,094.60","3,116.60","3,115.00","3,102.40","3,121.00","3,590.70","2,024.65","2,23,405","69,72,46,412.05","25,293"
"13-Nov-2024","EQ","3,151.05","3,159.30","3,097.90","3,151.05","3,112.40","3,116.60","3,118.40","3,590.70","2,024.65","1,84,256","57,45,84,656.15","34,725"
"12-Nov-2024","EQ","3,170.00","3,200.35","3,052.00","3,151.65","3,155.00","3,151.05","3,162.55","3,590.70","2,024.65","3,82,160","1,20,86,01,488.00","57,838"
"11-Nov-2024","EQ","3,200.05","3,203.15","3,145.50","3,199.85","3,146.10","3,151.65","3,171.25","3,590.70","2,024.65","1,72,047","54,56,03,718.30","24,551"
"08-Nov-2024","EQ","3,151.00","3,216.30","3,146.10","3,162.95","3,176.90","3,199.85","3,190.78","3,590.70","1,954.55","2,39,755","76,50,05,396.20","42,577"
"07-Nov-2024","EQ","3,216.10","3,239.10","3,148.05","3,209.90","3,151.00","3,162.95","3,169.26","3,590.70","1,954.55","2,46,838","78,22,94,547.60","31,401"
"06-Nov-2024","EQ","3,212.80","3,242.00","3,188.25","3,184.15","3,221.10","3,209.90","3,213.23","3,590.70","1,954.55","3,12,261","1,00,33,66,012.30","60,574"
"05-Nov-2024","EQ","3,200.55","3,219.00","3,137.90","3,200.55","3,174.90","3,184.15","3,177.81","3,590.70","1,954.55","2,74,823","87,33,35,966.40","47,439"
"04-Nov-2024","EQ","3,212.45","3,226.45","3,155.30","3,205.30","3,186.10","3,200.55","3,188.00","3,590.70","1,954.55","11,49,132","3,66,34,37,767.55","91,747"
"01-Nov-2024","EQ","3,224.00","3,224.00","3,191.05","3,202.65","3,208.00","3,205.30","3,204.62","3,590.70","1,913.35","16,976","5,44,01,681.60","1,940"
"31-Oct-2024","EQ","3,148.00","3,229.00","3,148.00","3,137.80","3,195.00","3,202.65","3,201.21","3,590.70","1,913.35","8,61,329","2,75,72,91,990.80","80,230"
"30-Oct-2024","EQ","3,125.20","3,149.75","3,084.80","3,215.65","3,140.00","3,137.80","3,124.64","3,590.70","1,913.35","34,10,175","10,65,55,83,530.05","1,11,488"
"29-Oct-2024","EQ","3,300.00","3,300.00","3,160.90","3,316.70","3,207.00","3,215.65","3,236.14","3,590.70","1,913.35","6,04,063","1,95,48,35,264.40","60,509"
"28-Oct-2024","EQ","3,435.00","3,511.80","3,300.00","3,432.85","3,314.00","3,316.70","3,359.52","3,590.70","1,913.35","8,62,562","2,89,77,96,770.45","63,830"
"25-Oct-2024","EQ","3,329.95","3,448.15","3,329.95","3,321.30","3,433.10","3,432.85","3,406.69","3,590.70","1,822.55","5,51,899","1,88,01,50,781.70","61,516"
"24-Oct-2024","EQ","3,325.00","3,368.25","3,296.00","3,318.95","3,325.00","3,321.30","3,328.52","3,590.70","1,822.55","6,15,291","2,04,80,07,644.25","37,925"
"23-Oct-2024","EQ","3,339.65","3,377.90","3,307.20","3,339.65","3,332.05","3,318.95","3,350.99","3,590.70","1,822.55","4,03,652","1,35,26,32,109.10","44,840"
"22-Oct-2024","EQ","3,390.05","3,402.75","3,328.65","3,392.50","3,329.85","3,339.65","3,360.31","3,590.70","1,822.55","1,46,815","49,33,43,837.20","21,199"
"21-Oct-2024","EQ","3,454.95","3,458.10","3,380.00","3,449.50","3,393.95","3,392.50","3,409.67","3,590.70","1,822.55","80,576","27,47,37,867.90","16,849"
"18-Oct-2024","EQ","3,396.65","3,482.65","3,386.50","3,396.65","3,435.10","3,449.50","3,445.03","3,590.70","1,822.55","1,87,099","64,45,62,204.30","28,276"
"17-Oct-2024","EQ","3,522.00","3,522.00","3,385.00","3,515.35","3,413.00","3,396.65","3,435.17","3,590.70","1,822.55","1,70,971","58,73,15,004.00","24,657"
"16-Oct-2024","EQ","3,497.60","3,528.20","3,490.00","3,497.60","3,513.95","3,515.35","3,511.93","3,590.70","1,822.55","2,01,555","70,78,47,745.15","31,693"
"15-Oct-2024","EQ","3,498.00","3,531.75","3,477.55","3,489.95","3,510.00","3,497.60","3,498.72","3,590.70","1,822.55","2,89,020","1,01,12,00,196.25","34,916"
"14-Oct-2024","EQ","3,510.05","3,510.30","3,448.25","3,497.05","3,498.00","3,489.95","3,473.34","3,590.70","1,822.55","1,68,714","58,60,00,278.45","27,304"
"11-Oct-2024","EQ","3,480.00","3,520.00","3,443.00","3,443.25","3,502.00","3,497.05","3,495.16","3,590.70","1,822.55","2,40,330","83,99,92,106.60","23,705"
"10-Oct-2024","EQ","3,567.00","3,580.00","3,405.95","3,557.25","3,448.00","3,443.25","3,481.49","3,590.70","1,822.55","2,94,303","1,02,46,11,768.85","33,255"
"09-Oct-2024","EQ","3,534.00","3,590.70","3,504.05","3,517.45","3,567.00","3,557.25","3,550.12","3,590.70","1,822.55","4,63,341","1,64,49,16,723.70","55,450"
"08-Oct-2024","EQ","3,415.00","3,538.00","3,380.90","3,405.10","3,537.00","3,517.45","3,469.16","3,574.00","1,822.55","2,56,690","89,04,97,902.75","36,313"
"07-Oct-2024","EQ","3,490.00","3,520.00","3,389.30","3,473.55","3,415.00","3,405.10","3,449.64","3,574.00","1,822.55","3,05,094","1,05,24,65,518.80","37,024"
"04-Oct-2024","EQ","3,404.95","3,494.85","3,355.05","3,392.15","3,472.90","3,473.55","3,464.78","3,574.00","1,822.55","4,75,367","1,64,70,44,106.65","44,878"
"03-Oct-2024","EQ","3,333.40","3,407.25","3,333.40","3,369.90","3,390.00","3,392.15","3,381.94","3,574.00","1,822.55","4,14,498","1,40,18,07,214.65","81,303"
"01-Oct-2024","EQ","3,408.50","3,433.45","3,331.45","3,396.55","3,370.00","3,369.90","3,358.77","3,574.00","1,822.55","4,25,354","1,42,86,65,234.15","35,651"
"30-Sep-2024","EQ","3,456.00","3,502.25","3,376.60","3,482.60","3,408.95","3,396.55","3,414.10","3,574.00","1,822.55","3,35,126","1,14,41,53,955.50","43,089"
"27-Sep-2024","EQ","3,412.20","3,498.60","3,395.30","3,412.30","3,456.00","3,482.60","3,455.31","3,574.00","1,821.45","5,96,251","2,06,02,29,513.60","59,217"
"26-Sep-2024","EQ","3,425.00","3,449.70","3,364.05","3,428.05","3,427.00","3,412.30","3,388.02","3,574.00","1,821.45","2,61,256","88,51,40,601.50","28,957"
"25-Sep-2024","EQ","3,490.10","3,492.00","3,414.05","3,470.90","3,441.50","3,428.05","3,435.30","3,574.00","1,821.45","2,04,828","70,36,45,321.85","31,116"
"24-Sep-2024","EQ","3,468.60","3,494.90","3,456.40","3,457.65","3,471.85","3,470.90","3,476.17","3,574.00","1,821.45","1,71,380","59,57,45,830.55","28,972"
"23-Sep-2024","EQ","3,477.95","3,520.35","3,424.75","3,457.80","3,460.50","3,457.65","3,460.24","3,574.00","1,821.45","1,74,672","60,44,07,818.45","24,440"
"20-Sep-2024","EQ","3,365.30","3,481.90","3,355.05","3,351.90","3,460.10","3,457.80","3,429.36","3,574.00","1,821.45","5,22,159","1,79,06,71,842.60","78,370"
"19-Sep-2024","EQ","3,348.10","3,394.85","3,320.95","3,359.60","3,357.85","3,351.90","3,352.66","3,574.00","1,821.45","2,60,230","87,24,62,871.10","40,322"
"18-Sep-2024","EQ","3,467.00","3,476.50","3,348.25","3,453.25","3,355.00","3,359.60","3,394.27","3,574.00","1,821.45","2,00,401","68,02,15,955.05","20,368"
"17-Sep-2024","EQ","3,468.90","3,476.70","3,444.45","3,453.90","3,448.10","3,453.25","3,457.70","3,574.00","1,821.45","1,46,515","50,66,04,719.05","19,985"
"16-Sep-2024","EQ","3,460.40","3,483.05","3,440.65","3,451.70","3,474.95","3,453.90","3,459.84","3,574.00","1,821.45","83,215","28,79,10,235.25","15,945"
"13-Sep-2024","EQ","3,480.80","3,498.80","3,424.45","3,461.45","3,440.00","3,451.70","3,457.90","3,574.00","1,821.45","1,99,928","69,13,31,159.55","26,131"
"12-Sep-2024","EQ","3,460.00","3,525.00","3,450.30","3,435.55","3,452.00","3,461.45","3,478.94","3,574.00","1,821.45","3,88,926","1,35,30,49,204.05","53,062"
"11-Sep-2024","EQ","3,455.00","3,470.00","3,420.10","3,426.15","3,449.00","3,435.55","3,444.47","3,574.00","1,821.45","2,01,770","69,49,90,021.60","22,226"
"10-Sep-2024","EQ","3,385.00","3,492.80","3,385.00","3,431.10","3,426.00","3,426.15","3,435.43","3,574.00","1,821.45","3,68,058","1,26,44,37,394.00","41,287"
"09-Sep-2024","EQ","3,416.00","3,443.45","3,364.15","3,416.70","3,438.75","3,431.10","3,414.33","3,574.00","1,821.45","1,70,242","58,12,62,120.05","28,954"
"06-Sep-2024","EQ","3,454.50","3,465.00","3,407.85","3,442.50","3,417.50","3,416.70","3,428.79","3,574.00","1,795.40","1,04,521","35,83,80,418.75","18,096"
"05-Sep-2024","EQ","3,450.05","3,496.75","3,430.05","3,462.85","3,430.95","3,442.50","3,462.32","3,574.00","1,795.40","1,82,585","63,21,68,456.90","32,678"
"04-Sep-2024","EQ","3,401.00","3,469.45","3,395.00","3,426.10","3,464.00","3,462.85","3,432.16","3,574.00","1,795.40","1,76,935","60,72,68,893.90","29,933"
"03-Sep-2024","EQ","3,435.55","3,490.00","3,420.00","3,429.75","3,443.80","3,426.10","3,450.95","3,574.00","1,795.40","3,14,363","1,08,48,52,281.70","39,081"
"02-Sep-2024","EQ","3,503.45","3,523.00","3,416.20","3,485.15","3,442.00","3,429.75","3,447.82","3,574.00","1,795.40","2,33,417","80,47,80,717.25","32,802"
"30-Aug-2024","EQ","3,461.95","3,574.00","3,447.05","3,434.55","3,499.50","3,485.15","3,500.05","3,574.00","1,772.05","9,93,340","3,47,67,40,360.45","75,889"
"29-Aug-2024","EQ","3,428.00","3,445.90","3,410.50","3,419.45","3,429.50","3,434.55","3,426.42","3,451.00","1,772.05","1,70,950","58,57,45,834.25","19,932"
"28-Aug-2024","EQ","3,360.05","3,451.00","3,360.05","3,362.00","3,435.05","3,419.45","3,417.81","3,451.00","1,772.05","5,97,337","2,04,15,85,419.80","50,755"
"27-Aug-2024","EQ","3,342.80","3,374.00","3,311.00","3,342.80","3,360.10","3,362.00","3,352.89","3,391.95","1,772.05","2,19,015","73,43,34,048.65","19,348"
"26-Aug-2024","EQ","3,353.80","3,377.00","3,311.45","3,349.35","3,345.00","3,342.80","3,345.25","3,391.95","1,772.05","1,36,267","45,58,47,709.55","18,032"
"23-Aug-2024","EQ","3,365.00","3,391.95","3,341.05","3,362.60","3,350.00","3,349.35","3,361.64","3,391.95","1,772.05","1,31,033","44,04,86,253.40","20,029"
"22-Aug-2024","EQ","3,353.85","3,369.95","3,324.05","3,350.75","3,355.00","3,362.60","3,352.13","3,383.90","1,772.05","1,24,001","41,56,67,154.65","21,290"
"21-Aug-2024","EQ","3,362.50","3,371.50","3,338.00","3,362.50","3,350.00","3,350.75","3,351.92","3,383.90","1,772.05","2,57,431","86,28,87,977.00","14,102"
"20-Aug-2024","EQ","3,365.00","3,379.50","3,345.05","3,349.35","3,356.00","3,362.50","3,358.48","3,383.90","1,772.05","2,06,288","69,28,13,420.25","29,433"
"19-Aug-2024","EQ","3,348.95","3,369.95","3,328.05","3,348.20","3,346.00","3,349.35","3,348.09","3,383.90","1,772.05","82,204","27,52,26,449.50","12,124"
"16-Aug-2024","EQ","3,365.00","3,379.95","3,293.05","3,348.75","3,351.90","3,348.20","3,321.17","3,383.90","1,772.05","2,25,209","74,79,58,427.05","24,358"
"14-Aug-2024","EQ","3,383.00","3,383.00","3,260.90","3,363.40","3,341.00","3,348.75","3,327.99","3,383.90","1,772.05","4,47,194","1,48,82,56,665.05","33,866"
"13-Aug-2024","EQ","3,339.95","3,383.90","3,310.00","3,337.25","3,350.05","3,363.40","3,359.54","3,383.90","1,772.05","4,13,070","1,38,77,25,883.20","33,976"
